Adresse du logement (N° et nom de la rue),Code postal du logement,Description de l'état du logement,Photo témoignant de l'indignité des lieux,Le bailleur est un bailleur,Le logement a déjà été frappé d'un arrêté de péril imminent
13 rue de la palud,13001,toiture avec des trous. locataires en dessous.,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/efe124af289f-IMG_6793.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZWZlMTI0YWYyODlmLUlNR182NzkzLkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDEwNDg1NVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTMwOTMyODZhY2VjOTNjMWE5YWMwOTkyNzViMjE4NTgwZGRiNDE4NTdlZDAwM2QwMDlmNDNjNGQ1NTQyNjVkMTc%3D,privé,Je ne sais pas
"35, Rue Mazagran",13001,"Marches d'escaliers abîmées_x000D_
Gaine EDF avec mention ""Danger de Mort"" traversant le centre de l'immeuble._x000D_
Fissure façade en haut de ma fenêtre, causant des infiltrations d'eau dans la cuisine._x000D_
Infiltration d'eau salle de bain, salon et plafond salon._x000D_
Un plomb a sauté dans la cuisine_x000D_
Creux de deux tomettes devant ma porte d'entrée dû à la gaine EDF avec vue sur le premier étage._x000D_
Sol un peu incurvé. Ex.: La chaise à roulettes partait en arrière._x000D_
Traces des travaux d’électricité",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/b4e7c102eb49-35Mazagran.zip?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYjRlN2MxMDJlYjQ5LTM1TWF6YWdyYW4uemlwP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDhUMTIyOTA3WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9MmVlY2ZhMjY5NmIyMzJiYTA1NDhhMWNmMmY2YzMwNDQxNzI0YjAxZjFiMzRiZWNlY2YxNmQ0NDY0MDE5NGQ1Ng%3D%3D,je ne sais pas,Je ne sais pas
37 rue Thubaneau 13001 Marseille,13001,Immeuble qui s'affaise depuis des années.. Des articles remontant à deux ans parlant défondrement partiels de l'immeuble. Infiltration d'eau. Fissure. Fil electriques qui pendent dans les parties communes (cages d'escalier). Rats. Squatteur...,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/b19db0358bb6-image_au_37_rue_thubaneau_l_immeuble_qui_prend_l_eau_04_1024x1024.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYjE5ZGIwMzU4YmI2LWltYWdlX2F1XzM3X3J1ZV90aHViYW5lYXVfbF9pbW1ldWJsZV9xdWlfcHJlbmRfbF9lYXVfMDRfMTAyNHgxMDI0LmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDEyMzQ0NlomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTdiMDdkYzliNWU2NDZlMDkzYmUwYjEzYzcwMzRlMzY4MjA4NzFjMzVkM2I1NmM0N2E2OWY4YmM1MTRmMTRkYjQ%3D,privé,Je ne sais pas
"5, rue des dominicaines 13001 marseille",13001,"j'ai refait tous les mur moi même mais le plafond et gorgé d'eau et sa s'effrite des plaques son déjà tombé dans la cuisine et salle de bain, j'ai refait l'entrée  pour sécurisé et prendre soin de ma fille, jamais remboursé, des odeurs tous les jours avec les canalisations de salle de bain, simple vitrage  carreau de fenêtre jamais remplacé,  les tomettes je les ai traité a mes frais bien sur, je me chauffe au bain à huile car j'ai pas les moyens de me chauffé à l’électrique, les douilles de salle de bain Eclairage douille de chantier, je tombe malade chez moi car j'ai froid mais pas les moyens de me chauffer. _x000D_
et les vieilles fenêtre ne ferme pas et laisse passe l'air j'ai refait à mes frais tous les joints,  j'aimerai agrandir la mezzanine de ma fille faut juste  une perceuse a percutions, des mèches pierre, du bois de base mais je touche 396 euro de rsa, car ma fille grandi et ces pieds dépasse, je ne mange que deux repas par jour j'angoisse tellement que j'arrive pas à arrêter de fumer, je ne sort pas je bois pas pas d'alcool à la maison, et quand des amies m'invite bas ce sont eux qui m'offre un verre, mais j'ai honte alors je demande rien, pas de drogue non plus c'est pour les riche la drogue, je joue pas au loto, je n'arrive plus à habiller ma fille actuellement, ni moi depuis des années; j'ai fait une mezzanine pour ma fille et moi à mes frais bien sur._x000D_
Depuis que je vie a marseille je me sent plus français mais  un immigrés dans mon propre pays, je pense au suicide, car je me bas tous les jours et l'administration me balade je passe mon temps a devoir explique ma situation je n'arrive plus a allez voir l'administration  pole emploi ma déjà humilier en publique,  en vivant a marseille on a le soleil mais j'ai plus confiance en moi  sachant cela je me bouscle pour parlé mais je ne suis pas mort comme rue d'aubagne alors je ne me plaint pas et me bat pour trouvé du travail d'illustration chantier garderie vieux ou jeune petit travaux au noir pour au moins manger j'ai un crédit permant employer au maximum , j'ai eu trois moi de rsa coupé après l’élection de macron et ne refait pas surface depuis, pour un défaut de quotient familial malgré papier démarche rien n'est entendu et je cour au sur endettement à cause d'une dette public de quotient familial que la caf dit de 5000 euro j'ai du attendre un an de prélèvement et 3 moi de coupure du rsa somme donner et automatiquement retenu a la source, qui na pas de légalité, pour connaitre la cause, a cause d'une case mal coché et d'un changement de situation familial pas signalé  car je n'ai plus la garde principal suit à un jaf perdue, j'ai eu un accident entraînant incapacité durant plusieurs mois, qui m'ont fait arrête une formation pour retrouvé de l'emploi, et pole emploi sans justificatif me réclame 600 euro j'ai réussi à rembourse la 400 euro, mais je n'arrive plus pole emploi me menacé insulté et ridiculisé en public avec la caf les somme prélevé change  d'un trimestre sur l'autresans calendrier sans négociation malgre mes demande par écrit envoyer a mes frais en accusé de réception a mes frais, je suis passé en tribunal administratif, le dépôt de mon dossier au tribunal adminstratif de marseille a était refusé alors que dans les temps j'ai du l'envoyer en recommander 26 euro a mes frais alors que j'ai pas de quoi me nourrir, je sais plus quoi faire j'ai raté des offre d'emploi car je n'avait pas le sous pour payer les transports , j'ai vues des assistant social, epvf, mediance 13 arrivé a 7h pour espere passé dans les 16 premier, arrive caf marseille a 8h 30 passé a 13h30, des machin et truc a plus en finir sa prend tout mon temps pour rien et pendant ce temps je ne peux pas cherche de travail le serpent se mort la queue je suis pris pour un con et on m'invite a crevé, voilà ce que vive les marseillais, je suis né en france je m'appel samuel verstraete, je fait tout pour être un père digne apprendre des valeurs humaniste à ma fille, je l’emmène a la bibliothèque a 10 elle lit beaucoup elle fait des rallye bd math lecture, elle est curieuse mais je me sent condamné au silence, c'est devenue ultra violent depuis macron harcèlement administratif, je vous invite chez moi a voir si je ment ou je dit la vérité j'ai investie en livre pour elle en jouer en livre pédagogique, activité manuel elle c'est planté et prendre soin d'animaux et plante, j’espère juste qu'elle arrive a développe sont esprit critique, si j'arrive a survivre mais je doute noel elle a accepter qui si j'ai pas d'argent bas de ne pas avoir de cadeaux, mais je ferai tout pour être digne donc accepte tout type de travail tout sans limite",,privé,Non
78 rue d'Aubagne,13001,"Mur en sable, goulote pour fil électrique,  fuite à plusieurs endroits, fissures importante dans l appartement ainsi que sur la terrasse, du cache misère total avec une bonne odeur d humidité...",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/5b659eac3fd6-20180208_163920.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNWI2NTllYWMzZmQ2LTIwMTgwMjA4XzE2MzkyMC5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA4JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOFQxNDMwMTNaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1mNTU1ODk4MDc4YTJhNmIzN2I5NjU1M2Y5YjA3ZWZmNmZhMzJiMmE2YWJjNjJlYWIzZWE2ZGUyNTIyZWI1MTM2,privé,Je ne sais pas
7 rue de la Palud,13001,Vétuste est un petit mot,,privé,Je ne sais pas
7 rue de la Palud,13001,Vétuste est un petit mot,,privé,Je ne sais pas
15 rue des petites maries ,13001,Insalubre ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/8fd0e2d59d39-953ABD8F_B6B7_4122_9435_08DA1600710A.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvOGZkMGUyZDU5ZDM5LTk1M0FCRDhGX0I2QjdfNDEyMl85NDM1XzA4REExNjAwNzEwQS5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDhUMjAyNzU0WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9OTFkM2UzODk4ZGEyZDg4NDgwYTNjNTk3ZWNhYmJlNTViYmI3OGY1ODgzZmMzNzUyODYxN2MzOTU5NzBkYmQ3YQ%3D%3D,un office HLM,Oui
62 rue d'aubagne,13001,"moisissure du a la très forte humidité, sol pas droit, fissures, punaises de lit, mauvaise isolation ",,privé,Je ne sais pas
1 place du Marché des capucins,13001,Correcte. Quelques épisodes de cafards ,,privé,Non
43 rue thubaneau,13001,le plancher haut des caves est en très mauvais état.,,privé,Non
31 rue barthelemy 4eme étage,13001,"L'appartement est vétuste et demande des travaux, la peinture s'écaille dans quasiment toutes les pièces et le plancher de la salle de bain s'est déjà effondré (sur 0.5mx0.5m) à cause de poutre intermediaires rongées par l'humidité puis a été réparé a la va-vite. Pour avoir vu l'avancement de l'humidité sur les poutres porteuses, je dirais que la salle de bain s'effondrera sur l'étage d'en dessous d'ici 5/10 ans",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/e26c0e8655d5-18110303_10211446495711118_425699258_o.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZTI2YzBlODY1NWQ1LTE4MTEwMzAzXzEwMjExNDQ2NDk1NzExMTE4XzQyNTY5OTI1OF9vLmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDklMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA5VDE2MTUxNlomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPTcxY2UwYWM5ZWJjZDk4ODA4ODExMjVjNGZlMzcwYjdkYjNlMDEwZGIzYWE3YWQzZDZiZWNhNjAwODQ4MGU2YTU%3D,privé,
20 marché des capucins ,13001,L'électricité n'est pas aux normes (Ampoules de chantier dans pratiquement tous les appartements) et un appartement qui a pris feu le 1er novembre au 18 de la même rue à cause d'un défaut d'électricité  (même propriétaire),https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/cd381c2e2a16-20180827_124320.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvY2QzODFjMmUyYTE2LTIwMTgwODI3XzEyNDMyMC5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA5JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOVQyMjMwMzNaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT04NGFlZTJiOGJjZTE5YjVkYWY4MDE3OTk0NDgzODZhMzA2N2ZkZWY0MTQxYWRhMjJkODk3MDI5YmU2MjdlMTRj,privé,Je ne sais pas
"35, Rue Mazagran",13001,"Vidéo de fuites d'eau le long de l'ampoule, l'agence est prévenue depuis fin août, et ne compte faire les travaux qu'à partir de Janvier 2019.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/859912707b33-35RueMazagran13001Marseille___BalanceTonTaudis___VID_20181110_011237.mkv?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvODU5OTEyNzA3YjMzLTM1UnVlTWF6YWdyYW4xMzAwMU1hcnNlaWxsZV9fX0JhbGFuY2VUb25UYXVkaXNfX19WSURfMjAxODExMTBfMDExMjM3Lm1rdj9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMTAlMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTEwVDAwNTUxMFomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPWU3Y2U5NDRmYzdkYjkyN2ViYzY3MDc0YzI1ZGMyNjFlMmM1ODY3OGRjOTExMDM0ZjNjOWExMzRlYTAyM2E5MmI%3D,privé,Je ne sais pas
83 rue curiol ,13001,Partis comité insalubre et dangereux logement fissurer ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/189eb99a5f82-22BA017F_88A5_42AA_93B0_6970C3BEB85D.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMTg5ZWI5OWE1ZjgyLTIyQkEwMTdGXzg4QTVfNDJBQV85M0IwXzY5NzBDM0JFQjg1RC5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTBUMTEwODQ5WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9YWRlNWM0NjI4MTVhYjZlZjYwYzQ3ZWIxMTEzMGM0ODJjMjg4MDA5ODBmOTFhMjkzOWFkNjAyZjFmMzM5Yjc3Yg%3D%3D,privé,Non
8 Boulevard Longchamp ,13001,"Petit 14m2_x000D_
Le plafond est tombé parterre la semaine dernière à cause d’une fuite dans le toit mal entretenu qui n’a pas supporté la pluie. ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/4a6429192012-BEDC9992_F8F9_4502_BD90_AF642D81BF77.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNGE2NDI5MTkyMDEyLUJFREM5OTkyX0Y4RjlfNDUwMl9CRDkwX0FGNjQyRDgxQkY3Ny5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTBUMTY0MjQwWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9Y2Y5NmJmYjI2OGNjNGViOTU4NjE4ZjNlMGQ5ODgyNTI4MTIwMmE5YTU5YjA4Yjk3YTM1NDRiMTJiNzQ5MWI4Ng%3D%3D,privé,Je ne sais pas
9 rue Rouvière,13001,Le balcon menace de tomber dans la rue,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/fe3fc78b483d-hotel_moderne_1.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZmUzZmM3OGI0ODNkLWhvdGVsX21vZGVybmVfMS5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTEwJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMFQyMDEwMTJaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1iNThhYTk1NWQwYmVmM2Y0NDFkYWM1NDk4MTA3MWIzZTBhYzdhZGE1YTQ1NmEyZmQzOWZjZTNhNDA4YzAyNmQx,privé,Je ne sais pas
"16, rue de l'Académie",13001,"Immeuble à coté de chez moi, vu de mon balcon._x000D_
Le toit s’est effondré il y a presque 2 ans, aucune mesure n’a été prise et une partie de la couverture est en eternit. _x000D_
L’immeuble est muré et n’est pas habité. _x000D_
",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/40f5b1ee6689-2018_11_11_09.18.56.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNDBmNWIxZWU2Njg5LTIwMThfMTFfMTFfMDkuMTguNTYuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTFUMDgzNjE5WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NmNlZjhkNDliYzlkYTk4OTE5MGQ1Mjk1NGIyNjhkYjVmOGNjYjk4YWU1NzFhYzRlZjI3ZjYxZjYzMzRjZGZmMg%3D%3D,je ne sais pas,Je ne sais pas
3 rue de la Palud,13001,,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/6190489d7991-20181110_marseille_rue_de_la_Palud.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNjE5MDQ4OWQ3OTkxLTIwMTgxMTEwX21hcnNlaWxsZV9ydWVfZGVfbGFfUGFsdWQuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTFUMDg1ODIzWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9OWQ1NTRhYTVkYzExNmZkNmFkYmNmNzJjYTcwNmNhOWE0OWI5MWJiNDMzYzYwMWFmZTAxNmUwZjBhZmIxNzMxMA%3D%3D,je ne sais pas,
